"Country","IncomeTaxTop","CorporateTax","VAT"
"Mongolia",10,10,10
"Montenegro",12.65,9,21
"Montserrat",NA,20,NA
"Morocco",38,31,20
"Mozambique",NA,32,NA
"Myanmar",NA,22,NA
"Namibia",37,32,15
"Nauru",NA,25,NA
"Nepal",36,30,13
"Netherlands",49.5,25,21
"New Zealand",39,28,15
"New Caledonia",40,30,NA
"Nicaragua",NA,30,NA
"Niger",NA,30,7
"Nigeria",24,30,7.5
"Niue",NA,0,12.5
"Norfolk Island",NA,0,NA
"North Macedonia",18,10,18
"Norway",40,23,25
"Oman",0,15,5
"Pakistan",35,0,17
"Palau",NA,0,NA
"Palestine",15,15,14.5
"Panama",27,25,7
"Papua New Guinea",NA,30,NA
"Paraguay",10,10,10
"Peru",30,30,16
"Philippines",35,30,12
"Pitcairn Islands",0,0,0
"Poland",41,19,23
"Portugal",56.03,21,23
"Puerto Rico",33.34,20,11.5
"Qatar",0,10,0
"Romania",45,16,19
"Russia",15,20,20
"Rwanda",30,30,18
"Saint Kitts and Nevis",0,33,NA
"Saint Barthélemy",0,0,0
"Saint Lucia",NA,30,NA
"Saint Martin",NA,20,NA
"Saint Pierre and Miquelon",NA,33.3,NA
"Saint Vincent and the Grenadines",NA,30,NA
"Samoa",NA,27,NA
"San Marino",35,17,0
"São Tomé and Príncipe",NA,25,NA
"Sark",0,0,0
"Saudi Arabia",0,2.5,15
"Senegal",50,25,20
"Serbia",25,15,20
"Seychelles",15,33,15
"Sierra Leone",NA,25,NA
"Singapore",22,17,9
"Sint Maarten",47.5,34.5,5
"Slovakia",25,21,20
"Slovenia",50,19,22
"Solomon Islands",NA,30,NA
"Somalia",0,0,0
"South Africa",45,28,15
"South Korea",42,24.2,10
"South Sudan",NA,30,NA
"Spain",52.3,25,21
"Sri Lanka",36,30,12
"Sudan",NA,5,NA
"Suriname",38,36,NA
"Svalbard",22,16,0
"Sweden",45.6,20.6,25
"Switzerland",50.14,17.92,8.1
"Syria",15,22,NA
"Taiwan",40,20,5
"Tajikistan",13,13,18
"Tanzania",30,30,14
"Thailand",35,20,7
"Togo",NA,27,NA
"Tokelau",NA,0,NA
"Tonga",NA,25,NA
"Trinidad and Tobago",30,30,12.5
"Tunisia",35,30,18
"Turkey",40,25,20
"Turkmenistan",NA,8,NA
"Turks and Caicos Islands",NA,0,NA
"Tuvalu",NA,30,NA
"Uganda",NA,30,18
"Ukraine",18,18,2
"United Arab Emirates",0,0,5
"United Kingdom",62,19,20
"United States",45.38,21,11.5
"Uruguay",36,25,22
"Uzbekistan",12,12,15
"Vanuatu",0,0,0
"Venezuela",34,34,16
"Vietnam",35,20,10
"British Virgin Islands",0,0,NA
"U.S. Virgin Islands",NA,21,NA
"Wallis and Futuna",0,0,0
"Yemen",15,20,2
"Zambia",30,30,16
"Zimbabwe",45,25,15
